rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
1,A - strongest fit,Cayelan C. Carey,Likely faculty/senior PI,Virginia Tech,US,US,no,Strong (university advisor pipeline),Very high,25,2025,forecasting; ecological_networks; ecosystem_modeling,47,283,8594,Zenodo (CERN European Organization for Nuclear Research); Ecosphere; Ecological Applications; Inland Waters,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Integrating Ecological Forecasting into Undergraduate Ecology Curricula with an R Shiny Application-Based Teaching Module,"Recurring publication signal (25 matched works) in forecasting, ecological_networks, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-8835-4476,https://openalex.org/A5050269082,2026-04-10
2,A - strongest fit,Otso Ovaskainen,Likely faculty/senior PI,University of Jyväskylä,FI,Non-US,no,Strong (university advisor pipeline),Very high,14,2025,joint_models; species_distribution,80,550,24090,Ecology; bioRxiv (Cold Spring Harbor Laboratory); Cambridge University Press eBooks; Ecological Monographs,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Joint species distribution modelling with the<scp>r</scp>‐package H<scp>msc</scp>,Computationally efficient joint species distribution modeling of big spatial data,"Recurring publication signal (14 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9750-4421,https://openalex.org/A5016339099,2026-04-10
3,A - strongest fit,Antoine Guisan,Likely faculty/senior PI,University of Lausanne,CH,Non-US,no,Strong (university advisor pipeline),Very high,13,2024,species_distribution; remote_sensing; joint_models; ecosystem_modeling,104,550,81900,Ecography; Remote Sensing of Environment; Ecological Monographs; Biodiversity Informatics,A standard protocol for reporting species distribution models,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,"Recurring publication signal (13 matched works) in species_distribution, remote_sensing, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3998-4815,https://openalex.org/A5041324397,2026-04-10
4,A - strongest fit,Michael C. Dietze,Likely faculty/senior PI,Boston University,US,US,no,Strong (university advisor pipeline),Very high,16,2026,forecasting; ecosystem_modeling,59,360,15861,Global Change Biology; AGU Fall Meeting 2019; Geoscientific model development; Methods in Ecology and Evolution,The power of forecasts to advance ecological theory,Ecological forecasting of tree growth: Regional fusion of tree‐ring and forest inventory data to quantify drivers and characterize uncertainty,Near-term ecological forecasting for climate change action,"Recurring publication signal (16 matched works) in forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2324-2518,https://openalex.org/A5058192976,2026-04-10
5,A - strongest fit,R. Quinn Thomas,Likely faculty/senior PI,Beth Israel Deaconess Medical Center,US,US,no,Lower (not a typical PhD advisor home),Moderate,27,2025,forecasting,32,186,6419,Zenodo (CERN European Organization for Nuclear Research); Ecosphere; Ecological Applications; Inland Waters,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",The<scp>NEON</scp>Ecological Forecasting Challenge,Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Recurring publication signal (27 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1282-7825,https://openalex.org/A5010063173,2026-04-10
6,A - strongest fit,Duccio Rocchini,Likely faculty/senior PI,Czech University of Life Sciences Prague,CZ,Non-US,no,Strong (university advisor pipeline),Very high,13,2024,species_distribution; remote_sensing,60,403,12335,Remote Sensing of Environment; Ecography; Progress in Physical Geography Earth and Environment; npj Biodiversity,Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,A quixotic view of spatial bias in modelling the distribution of species and their diversity,Reviewing the Spectral Variation Hypothesis: Twenty years in the tumultuous sea of biodiversity estimation by remote sensing,"Recurring publication signal (13 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0087-0594,https://openalex.org/A5053455920,2026-04-10
7,A - strongest fit,Wilfried Thuiller,Likely faculty/senior PI,Centre National de la Recherche Scientifique,FR,Non-US,no,Possible (manual verification needed),High,14,2025,species_distribution; food_webs; joint_models,142,678,93463,Ecography; Journal of Biogeography; Ecological Monographs; Global Ecology and Biogeography,A standard protocol for reporting species distribution models,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Novel methods to correct for observer and sampling bias in presence‐only species distribution models,"Recurring publication signal (14 matched works) in species_distribution, food_webs, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5388-5274,https://openalex.org/A5072813166,2026-04-10
8,A - strongest fit,Xiao Feng,Likely faculty/senior PI,University of North Carolina at Chapel Hill,US,US,yes,Strong (university advisor pipeline),High,12,2024,forecasting; species_distribution; bayesian_models,27,143,5262,Zenodo (CERN European Organization for Nuclear Research); Ecography; Global Ecology and Biogeography; Ecology and Evolution,Collinearity in ecological niche modeling: Confusions and challenges,A checklist for maximizing reproducibility of ecological niche models,A standard protocol for reporting species distribution models,"Recurring publication signal (12 matched works) in forecasting, species_distribution, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-4638-3927,https://openalex.org/A5080264402,2026-04-10
9,A - strongest fit,Marta Coll,Likely faculty/senior PI,Consejo Superior de Investigaciones Científicas,ES,Non-US,no,Possible (manual verification needed),Very high,16,2025,food_webs; ecosystem_modeling; species_distribution,79,536,24461,DIGITAL.CSIC (Spanish National Research Council (CSIC)); Frontiers in Marine Science; Ecological Modelling; Restoration Ecology,Predicting marine species distributions: Complementarity of food-web and Bayesian hierarchical modelling approaches,Advancing Global Ecological Modeling Capabilities to Simulate Future Trajectories of Change in Marine Ecosystems,Disentangling diverse responses to climate change among global marine ecosystem models,"Recurring publication signal (16 matched works) in food_webs, ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6235-5868,https://openalex.org/A5019669154,2026-04-10
10,B - high potential,Kathleen Kesner‐Reyes,Likely faculty/senior PI,University of the Philippines Los Baños,PH,Non-US,no,Strong (university advisor pipeline),Moderate,20,2022,ecological_networks,15,54,3709,Zenodo (CERN European Organization for Nuclear Research),"Biodiversity Index, in 2019 and across RCP 4.5, and 8.5 scenarios in 2050 and 2100 of 1508 European Marine Species based on ensemble Ecological Niche Models developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution","Ecological Niche Models, in 2019 and across RCP 2.6, 4.5, and 8.5 scenarios in 2050 and 2100, of 1508 European Marine Species, developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution","Ensemble Ecological Niche Models, in 2019 and across RCP 2.6, 4.5, and 8.5 scenarios in 2050 and 2100, of 1508 European Marine Species based on Ecological Niche Models developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution",Recurring publication signal (20 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-4479-292X,https://openalex.org/A5036942111,2026-04-10
