institution_name,ecology_subfield_tags,institution_type,city,state,tuition_and_fees,program_page_url,source_url
Boise State University,general,"Public, 4-year",Boise,ID,"$27,788 ($9,048 in-state)",https://www.collegetuitioncompare.com/graduate/boise-state-university/,https://www.collegetuitioncompare.com/graduate/ecology/
Colorado State University-Fort Collins,general,"Public, 4-year",Fort Collins,CO,"$35,061 ($13,373 in-state)",https://www.collegetuitioncompare.com/graduate/colorado-state-university-fort-collins/,https://www.collegetuitioncompare.com/graduate/ecology/
Columbia University in the City of New York,general,"Private, 4-year",New York,NY,"$70,517",https://www.collegetuitioncompare.com/graduate/columbia-university-in-the-city-of-new-york/,https://www.collegetuitioncompare.com/graduate/ecology/
Cornell University,general,"Private, 4-year",Ithaca,NY,"$69,314",https://www.collegetuitioncompare.com/graduate/cornell-university/,https://www.collegetuitioncompare.com/graduate/ecology/
Duke University,general,"Private, 4-year",Durham,NC,"$68,758",https://www.collegetuitioncompare.com/graduate/duke-university/,https://www.collegetuitioncompare.com/graduate/ecology/
Florida Institute of Technology,general,"Private, 4-year",Melbourne,FL,"$45,900",https://www.collegetuitioncompare.com/graduate/florida-institute-of-technology/,https://www.collegetuitioncompare.com/graduate/ecology/
Kent State University at Kent,general,"Public, 4-year",Kent,OH,"$21,575 ($12,920 in-state)",https://www.collegetuitioncompare.com/graduate/kent-state-university-at-kent/,https://www.collegetuitioncompare.com/graduate/ecology/
Lesley University,general,"Private, 4-year",Cambridge,MA,"$34,256",https://www.collegetuitioncompare.com/graduate/lesley-university/,https://www.collegetuitioncompare.com/graduate/ecology/
Michigan Technological University,general,"Public, 4-year",Houghton,MI,"$44,807 ($20,532 in-state)",https://www.collegetuitioncompare.com/graduate/michigan-technological-university/,https://www.collegetuitioncompare.com/graduate/ecology/
Ohio State University-Main Campus,general,"Public, 4-year",Columbus,OH,"$40,022 ($13,244 in-state)",https://www.collegetuitioncompare.com/graduate/ohio-state-university-main-campus/,https://www.collegetuitioncompare.com/graduate/ecology/
Oklahoma State University-Main Campus,general,"Public, 4-year",Stillwater,OK,"$25,630 ($10,110 in-state)",https://www.collegetuitioncompare.com/graduate/oklahoma-state-university-main-campus/,https://www.collegetuitioncompare.com/graduate/ecology/
Old Dominion University,general,"Public, 4-year",Norfolk,VA,"$33,780 ($12,750 in-state)",https://www.collegetuitioncompare.com/graduate/old-dominion-university/,https://www.collegetuitioncompare.com/graduate/ecology/
Penn State - Quantitative Ecology Option,quantitative,MS/PhD ecology option,University Park,PA,,https://www.huck.psu.edu/graduate-programs/ecology/degree-requirements/options-and-dual-titles/quantitative-ecology,https://www.huck.psu.edu/graduate-programs/ecology/degree-requirements/options-and-dual-titles/quantitative-ecology
Pennsylvania State University-Main Campus,general,"Public, 4-year",University Park,PA,"$41,790 ($20,644 in-state)",https://www.collegetuitioncompare.com/graduate/pennsylvania-state-university-main-campus/,https://www.collegetuitioncompare.com/graduate/ecology/
