workshop_name,ecology_subfield_tags,student_audience_tags,student_audience_notes,start_date,end_date,venue_name,city,state,country,attendance_mode,description,event_url,source_query_url
BIOS2 Data-driven Ecological Synthesis,computational;quantitative,undergraduate;graduate,The course is intended for graduate students but is also open to undergraduate students.,,,Universite de Montreal,Montreal,QC,CA,Unknown,Week-long class teaching data management and analysis for ecological synthesis research.,https://bios2.usherbrooke.ca/program/program-components/summer-schools/,https://bios2.usherbrooke.ca/program/program-components/summer-schools/
SPEC School,quantitative,graduate,Aimed primarily at graduate students and early postdoctoral researchers working with spectral data.,,,SPEC School,,,US,Hybrid,Summer school on theory and application of spectroscopy and remote sensing in ecology.,https://www.specschool.org/,https://www.specschool.org/
Helsinki Summer School on Mathematical Ecology and Evolution 2018,theoretical;quantitative,undergraduate;graduate,The workshop is aimed at graduate students and also welcomes advanced undergraduate students.,2018-08-19,2018-08-26,Turku,Turku,,FI,Offline,Summer school on mathematical ecology and evolution emphasizing theoretical and quantitative approaches.,https://wiki.helsinki.fi/xwiki/bin/view/BioMath/The%20Research%20Group%20of%20Biomathematics/Summer%20Schools/The%20Helsinki%20Summer%20School%20on%20Mathematical%20Ecology%20and%20Evolution%202018/,https://wiki.helsinki.fi/xwiki/bin/view/BioMath/The%20Research%20Group%20of%20Biomathematics/Summer%20Schools/The%20Helsinki%20Summer%20School%20on%20Mathematical%20Ecology%20and%20Evolution%202018/
BIOS2 Summer School in Biodiversity Modelling,computational;quantitative,undergraduate;graduate,The course is intended for graduate students but is also open to undergraduate students.,2020-08-23,2020-08-28,Orford Musique,Orford,QC,CA,Offline,"Summer school covering biodiversity modelling, joint distribution models, simulations, and ecological network analysis.",https://bios2.usherbrooke.ca/program/program-components/summer-schools/,https://bios2.usherbrooke.ca/program/program-components/summer-schools/
SEEDS National Field Trip - Kellogg Biological Field Station,general,undergraduate,The field trip hosted 20 diverse undergraduate students from around the country.,2023-04-28,2023-04-30,Kellogg Biological Field Station,Hickory Corners,MI,US,Offline,"SEEDS field trip focused on agroecology, field research, and career exploration.",https://esa.org/seeds/field-trip/past-field-trips/,https://esa.org/seeds/field-trip/past-field-trips/
Advanced Field School in Computational Ecology,computational;quantitative,graduate,Described by the organizers as an international PhD school in computational ecology.,2023-05-19,2023-05-26,Couvent de Val-Morin,Val-Morin,QC,CA,Offline,Advanced field school on computational ecology with modelling and data-analysis training.,https://sentinellenord.ulaval.ca/en/ecology2023,https://sentinellenord.ulaval.ca/en/ecology2023
SEEDS Geographic Information Systems (GIS) Workshop,quantitative,graduate,Applicants must be enrolled in a graduate program within the United States.,2024-05-20,2024-05-25,Florida A&M University Sustainability Institute,Tallahassee,FL,US,Offline,Hands-on GIS and remote-sensing workshop for ecological research using NEON data.,https://esa.org/seeds/meetings/gis-graduate-workshop/,https://esa.org/seeds/meetings/gis-graduate-workshop/
British Ecological Society Undergraduate Summer School,general,undergraduate,Applications are considered for undergraduate students studying degrees related to ecological sciences.,2024-07-16,2024-07-22,Rhyd-y-creuau FSC Centre,,Wales,GB,Hybrid,"Undergraduate summer school with practical field skills, specialist ecological workshops, careers talks, and transferable-skills development.",https://www.britishecologicalsociety.org/wp-content/uploads/2024/02/Student-Guidance-BESUG24.pdf,https://www.britishecologicalsociety.org/wp-content/uploads/2024/02/Student-Guidance-BESUG24.pdf
ACCESS-2025 Aarhus Comprehensive Computational Entomology Summer School,computational,graduate,The course particularly supports early-career researchers including graduate students and PhD students.,2025-09-28,2025-10-03,Mols Laboratory,Aarhus,,DK,Offline,Residential summer school on computational methods for insect ecology and entomology.,https://darsa.info/ACCESS-2025/,https://darsa.info/ACCESS-2025/
Ant Ecol Summer School,quantitative,graduate,"The summer school is for PhD students, postdocs, and early-career scientists working on ants.",2026-08-24,2026-08-28,Arolla,Arolla,,CH,Offline,"International summer school on ant ecology under global change with GIS, data-analysis, and field-work components.",https://wp.unil.ch/bertelsmeiergroup/antecol/,https://wp.unil.ch/bertelsmeiergroup/antecol/
