workshop_name,start_date,end_date,venue_name,city,state,country,attendance_mode,description,event_url,source_query_url
Bristol RI - Make-and-Take Rain Barrel Workshop,2026-04-11,2026-04-11,101 Asylum Rd,Bristol,RI,US,Offline,"Learn how to make a rain barrel and take it home for a fraction of the retail cost, while supporting local conservation efforts!",https://www.eventbrite.com/e/bristol-ri-make-and-take-rain-barrel-workshop-tickets-1981527446935,https://www.eventbrite.com/d/united-states/conservation-workshop/
Earth Celebrations and the Ecological City - Memory Mural Workshop,2026-04-11,2026-04-11,East River Park Fire Boat House,New York,NY,US,Offline,Join Lower East Side Ecology Center w/ Earth Celebrations’ artist in residence Katherine Freygang to paint a mural celebrating urban climate,https://www.eventbrite.com/e/earth-celebrations-and-the-ecological-city-memory-mural-workshop-tickets-1982912920925,https://www.eventbrite.com/d/united-states/ecology-workshop/
Paw Paw Baiting Workshop,2026-04-11,2026-04-11,GROW Enrichment,Nashville,TN,US,Offline,"A hands-on workshop exploring the history and ecology of the native pawpaw tree, followed by a guided walk across the 14-acre site.",https://www.eventbrite.com/e/paw-paw-baiting-workshop-tickets-1984500667919,https://www.eventbrite.com/d/united-states/ecology-workshop/?page=4
Barrington RI - Make-and-Take Rain Barrel Workshop,2026-04-18,2026-04-18,283 County Rd,Barrington,RI,US,Offline,"Learn how to make a rain barrel and take it home for a fraction of the retail cost, while supporting local conservation efforts!",https://www.eventbrite.com/e/barrington-ri-make-and-take-rain-barrel-workshop-tickets-1981529280419,https://www.eventbrite.com/d/united-states/conservation-workshop/
3 Part Wildlife Photography Workshop at Denver Zoo,2026-04-21,2026-04-21,Denver Zoo,Denver,CO,US,Offline,Get exclusive access to the Denver Zoo in this 3 part edition of our most popular photography workshop!,https://www.eventbrite.com/e/3-part-wildlife-photography-workshop-at-denver-zoo-registration-1980415878203,https://www.eventbrite.com/d/united-states/conservation-workshop/?page=2
2026 Soil Conservation & Nutrient Management For Equine Operations Seminar,2026-04-23,2026-04-23,18410 Muncaster Rd,Derwood,MD,US,Offline,Join us for a day all about Equine! Presentations from industry experts regarding nutrient & pasture management and changes in the industry.,https://www.eventbrite.com/e/2026-soil-conservation-nutrient-management-for-equine-operations-seminar-tickets-1983996725614,https://www.eventbrite.com/d/united-states/conservation-workshop/?page=2
Middletown RI - Make-and-Take Rain Barrel Workshop,2026-05-02,2026-05-02,19 Berkeley Ave,Middletown,RI,US,Offline,"Learn how to make a rain barrel and take it home for a fraction of the retail cost, while supporting local conservation efforts!",https://www.eventbrite.com/e/middletown-ri-make-and-take-rain-barrel-workshop-tickets-1981530108897,https://www.eventbrite.com/d/united-states/conservation-workshop/
UC Environmental Stewards: California Naturalist Certification Course,2026-05-03,2026-06-21,Oakland Zoo,Oakland,CA,US,Offline,Join the UC Environmental Stewards CalNat Course to better understand local ecology and learn about the unique natural wonders.,https://www.eventbrite.com/e/uc-environmental-stewards-california-naturalist-certification-course-tickets-1739793612529,https://www.eventbrite.com/d/united-states/environmental-science-workshop/?page=5
Gardening with Edible & Medicinal Plants Workshop,2026-05-16,2026-05-16,Oxbow Farm & Conservation Center,Carnation,WA,US,Offline,Grow a deeper connection to your local landscape and discover how native plants nourish wellness and biodiversity.,https://www.eventbrite.com/e/gardening-with-edible-medicinal-plants-workshop-tickets-1984594096366,https://www.eventbrite.com/d/united-states/conservation-workshop/?page=4
Restoration Ecology Class,2026-05-16,2026-05-16,High Plains Environmental Center,Loveland,CO,US,Offline,"Learn what it takes to transform disturbed, barren land into a thriving wildlife habitat.",https://www.eventbrite.com/e/restoration-ecology-class-tickets-1977734433931,https://www.eventbrite.com/d/united-states/environmental-science-workshop/
